citta,data,livello,data_estrazione,livello_n,delta_giorno_prima,delta_giorno_dopo,latitude
BARI,2023-09-18,Livello0,2023-09-18,0,0,0,41.11773
BARI,2023-09-19,Livello0,2023-09-19,0,0,0,41.11773
BARI,2023-09-20,Livello0,2023-09-20,0,0,0,41.11773
BARI,2023-09-21,Livello0,2023-09-20,0,0,1,41.11773
BARI,2023-09-22,Livello1,2023-09-20,1,1,,41.11773
BOLOGNA,2023-07-07,Livello0,2023-07-08,0,0,1,44.50657
BOLOGNA,2023-07-08,Livello1,2023-07-08,1,1,0,44.50657
BOLOGNA,2023-07-09,Livello1,2023-07-08,1,0,1,44.50657
BOLOGNA,2023-07-10,Livello2,2023-07-10,2,1,0,44.50657
BOLOGNA,2023-07-11,Livello2,2023-07-11,2,0,1,44.50657
BOLOGNA,2023-07-12,Livello3,2023-07-12,3,1,0,44.50657
BOLOGNA,2023-07-13,Livello3,2023-07-13,3,0,0,44.50657
BOLOGNA,2023-07-14,Livello3,2023-07-14,3,0,0,44.50657
BOLOGNA,2023-07-15,Livello3,2023-07-14,3,0,0,44.50657
BOLOGNA,2023-07-16,Livello3,2023-07-14,3,0,0,44.50657
BOLOGNA,2023-07-17,Livello3,2023-07-17,3,0,0,44.50657
BOLOGNA,2023-07-18,Livello3,2023-07-18,3,0,0,44.50657
BOLOGNA,2023-07-19,Livello3,2023-07-19,3,0,0,44.50657
BOLOGNA,2023-07-20,Livello3,2023-07-20,3,0,0,44.50657
BOLOGNA,2023-07-21,Livello3,2023-07-21,3,0,-2,44.50657
BOLOGNA,2023-07-22,Livello1,2023-07-21,1,-2,0,44.50657
BOLOGNA,2023-07-23,Livello1,2023-07-21,1,0,0,44.50657
BOLOGNA,2023-07-24,Livello1,2023-07-24,1,0,0,44.50657
BOLOGNA,2023-07-25,Livello1,2023-07-25,1,0,-1,44.50657
BOLOGNA,2023-07-26,Livello0,2023-07-26,0,-1,0,44.50657
BOLOGNA,2023-07-27,Livello0,2023-07-27,0,0,0,44.50657
BOLOGNA,2023-07-28,Livello0,2023-07-28,0,0,1,44.50657
BOLOGNA,2023-07-29,Livello1,2023-07-28,1,1,1,44.50657
BOLOGNA,2023-07-30,Livello2,2023-07-28,2,1,-1,44.50657
BOLOGNA,2023-07-31,Livello1,2023-07-31,1,-1,0,44.50657
BOLOGNA,2023-08-01,Livello1,2023-08-01,1,0,0,44.50657
BOLOGNA,2023-08-02,Livello1,2023-08-02,1,0,0,44.50657
BOLOGNA,2023-08-03,Livello1,2023-08-03,1,0,-1,44.50657
BOLOGNA,2023-08-04,Livello0,2023-08-04,0,-1,0,44.50657
BOLOGNA,2023-08-05,Livello0,2023-08-04,0,0,0,44.50657
BOLOGNA,2023-08-06,Livello0,2023-08-04,0,0,0,44.50657
BOLOGNA,2023-08-07,Livello0,2023-08-07,0,0,0,44.50657
BOLOGNA,2023-08-08,Livello0,2023-08-08,0,0,0,44.50657
BOLOGNA,2023-08-09,Livello0,2023-08-09,0,0,0,44.50657
BOLOGNA,2023-08-10,Livello0,2023-08-10,0,0,0,44.50657
BOLOGNA,2023-08-11,Livello0,2023-08-15,0,0,1,44.50657
BOLOGNA,2023-08-12,Livello1,2023-08-15,1,1,0,44.50657
BOLOGNA,2023-08-13,Livello1,2023-08-15,1,0,0,44.50657
BOLOGNA,2023-08-14,Livello1,2023-08-15,1,0,0,44.50657
BOLOGNA,2023-08-15,Livello1,2023-08-15,1,0,1,44.50657
BOLOGNA,2023-08-16,Livello2,2023-08-16,2,1,0,44.50657
BOLOGNA,2023-08-17,Livello2,2023-08-17,2,0,1,44.50657
BOLOGNA,2023-08-18,Livello3,2023-08-18,3,1,0,44.50657
BOLOGNA,2023-08-19,Livello3,2023-08-18,3,0,0,44.50657
BOLOGNA,2023-08-20,Livello3,2023-08-18,3,0,0,44.50657
BOLOGNA,2023-08-21,Livello3,2023-08-21,3,0,0,44.50657
BOLOGNA,2023-08-22,Livello3,2023-08-22,3,0,0,44.50657
BOLOGNA,2023-08-23,Livello3,2023-08-23,3,0,0,44.50657
BOLOGNA,2023-08-24,Livello3,2023-08-24,3,0,0,44.50657
BOLOGNA,2023-08-25,Livello3,2023-08-25,3,0,0,44.50657
BOLOGNA,2023-08-26,Livello3,2023-08-25,3,0,-2,44.50657
BOLOGNA,2023-08-27,Livello1,2023-08-25,1,-2,-1,44.50657
BOLOGNA,2023-08-28,Livello0,2023-08-28,0,-1,0,44.50657
BOLOGNA,2023-08-29,Livello0,2023-08-29,0,0,0,44.50657
BOLOGNA,2023-08-30,Livello0,2023-08-30,0,0,0,44.50657
BOLOGNA,2023-08-31,Livello0,2023-08-31,0,0,0,44.50657
BOLOGNA,2023-09-01,Livello0,2023-09-01,0,0,0,44.50657
BOLOGNA,2023-09-02,Livello0,2023-09-01,0,0,0,44.50657
BOLOGNA,2023-09-03,Livello0,2023-09-01,0,0,0,44.50657
BOLOGNA,2023-09-04,Livello0,2023-09-04,0,0,0,44.50657
BOLOGNA,2023-09-05,Livello0,2023-09-05,0,0,0,44.50657
BOLOGNA,2023-09-06,Livello0,2023-09-07,0,0,0,44.50657
BOLOGNA,2023-09-07,Livello0,2023-09-07,0,0,0,44.50657
BOLOGNA,2023-09-08,Livello0,2023-09-08,0,0,0,44.50657
BOLOGNA,2023-09-09,Livello0,2023-09-08,0,0,0,44.50657
BOLOGNA,2023-09-10,Livello0,2023-09-08,0,0,0,44.50657
BOLOGNA,2023-09-11,Livello0,2023-09-11,0,0,0,44.50657
BOLOGNA,2023-09-12,Livello0,2023-09-12,0,0,0,44.50657
BOLOGNA,2023-09-13,Livello0,2023-09-13,0,0,0,44.50657
BOLOGNA,2023-09-14,Livello0,2023-09-14,0,0,0,44.50657
BOLOGNA,2023-09-15,Livello0,2023-09-15,0,0,0,44.50657
BOLOGNA,2023-09-16,Livello0,2023-09-15,0,0,0,44.50657
BOLOGNA,2023-09-17,Livello0,2023-09-15,0,0,0,44.50657
BOLOGNA,2023-09-18,Livello0,2023-09-18,0,0,0,44.50657
BOLOGNA,2023-09-19,Livello0,2023-09-19,0,0,0,44.50657
BOLOGNA,2023-09-20,Livello0,2023-09-20,0,0,0,44.50657
BOLOGNA,2023-09-21,Livello0,2023-09-20,0,0,0,44.50657
BOLOGNA,2023-09-22,Livello0,2023-09-20,0,0,,44.50657
BOLZANO,2023-07-07,Livello0,2023-07-08,0,0,1,46.49272
BOLZANO,2023-07-08,Livello1,2023-07-08,1,1,1,46.49272
BOLZANO,2023-07-09,Livello2,2023-07-08,2,1,0,46.49272
BOLZANO,2023-07-10,Livello2,2023-07-10,2,0,1,46.49272
BOLZANO,2023-07-11,Livello3,2023-07-11,3,1,-2,46.49272
BOLZANO,2023-07-12,Livello1,2023-07-12,1,-2,0,46.49272
BOLZANO,2023-07-13,Livello1,2023-07-13,1,0,0,46.49272
BOLZANO,2023-07-14,Livello1,2023-07-14,1,0,1,46.49272
BOLZANO,2023-07-15,Livello2,2023-07-14,2,1,0,46.49272
BOLZANO,2023-07-16,Livello2,2023-07-14,2,0,1,46.49272
BOLZANO,2023-07-17,Livello3,2023-07-17,3,1,0,46.49272
BOLZANO,2023-07-18,Livello3,2023-07-18,3,0,-2,46.49272
BOLZANO,2023-07-19,Livello1,2023-07-19,1,-2,0,46.49272
BOLZANO,2023-07-20,Livello1,2023-07-20,1,0,-1,46.49272
BOLZANO,2023-07-21,Livello0,2023-07-21,0,-1,0,46.49272
BOLZANO,2023-07-22,Livello0,2023-07-21,0,0,0,46.49272
BOLZANO,2023-07-23,Livello0,2023-07-21,0,0,1,46.49272
BOLZANO,2023-07-24,Livello1,2023-07-24,1,1,-1,46.49272
BOLZANO,2023-07-25,Livello0,2023-07-25,0,-1,0,46.49272
BOLZANO,2023-07-26,Livello0,2023-07-26,0,0,0,46.49272
BOLZANO,2023-07-27,Livello0,2023-07-27,0,0,1,46.49272
BOLZANO,2023-07-28,Livello1,2023-07-28,1,1,0,46.49272
BOLZANO,2023-07-29,Livello1,2023-07-28,1,0,0,46.49272
BOLZANO,2023-07-30,Livello1,2023-07-28,1,0,-1,46.49272
BOLZANO,2023-07-31,Livello0,2023-07-31,0,-1,0,46.49272
BOLZANO,2023-08-01,Livello0,2023-08-01,0,0,1,46.49272
BOLZANO,2023-08-02,Livello1,2023-08-02,1,1,0,46.49272
BOLZANO,2023-08-03,Livello1,2023-08-03,1,0,-1,46.49272
BOLZANO,2023-08-04,Livello0,2023-08-04,0,-1,0,46.49272
BOLZANO,2023-08-05,Livello0,2023-08-04,0,0,0,46.49272
BOLZANO,2023-08-06,Livello0,2023-08-04,0,0,0,46.49272
BOLZANO,2023-08-07,Livello0,2023-08-07,0,0,0,46.49272
BOLZANO,2023-08-08,Livello0,2023-08-08,0,0,0,46.49272
BOLZANO,2023-08-09,Livello0,2023-08-09,0,0,0,46.49272
BOLZANO,2023-08-10,Livello0,2023-08-10,0,0,1,46.49272
BOLZANO,2023-08-11,Livello1,2023-08-15,1,1,0,46.49272
BOLZANO,2023-08-12,Livello1,2023-08-15,1,0,1,46.49272
BOLZANO,2023-08-13,Livello2,2023-08-15,2,1,0,46.49272
BOLZANO,2023-08-14,Livello2,2023-08-15,2,0,1,46.49272
BOLZANO,2023-08-15,Livello3,2023-08-15,3,1,0,46.49272
BOLZANO,2023-08-16,Livello3,2023-08-16,3,0,0,46.49272
BOLZANO,2023-08-17,Livello3,2023-08-17,3,0,0,46.49272
BOLZANO,2023-08-18,Livello3,2023-08-18,3,0,0,46.49272
BOLZANO,2023-08-19,Livello3,2023-08-18,3,0,0,46.49272
BOLZANO,2023-08-20,Livello3,2023-08-18,3,0,0,46.49272
BOLZANO,2023-08-21,Livello3,2023-08-21,3,0,0,46.49272
BOLZANO,2023-08-22,Livello3,2023-08-22,3,0,0,46.49272
BOLZANO,2023-08-23,Livello3,2023-08-23,3,0,0,46.49272
BOLZANO,2023-08-24,Livello3,2023-08-24,3,0,0,46.49272
BOLZANO,2023-08-25,Livello3,2023-08-25,3,0,0,46.49272
