citta,data,livello,data_estrazione
VERONA,2023-07-10,Livello2,2023-07-10
VITERBO,2023-07-10,Livello2,2023-07-10
ANCONA,2023-07-09,Livello1,2023-07-08
BARI,2023-07-09,Livello0,2023-07-08
BOLOGNA,2023-07-09,Livello1,2023-07-08
BOLZANO,2023-07-09,Livello2,2023-07-08
BRESCIA,2023-07-09,Livello1,2023-07-08
CAGLIARI,2023-07-09,Livello1,2023-07-08
CAMPOBASSO,2023-07-09,Livello1,2023-07-08
CATANIA,2023-07-09,Livello1,2023-07-08
CIVITAVECCHIA,2023-07-09,Livello1,2023-07-08
FIRENZE,2023-07-09,Livello2,2023-07-08
FROSINONE,2023-07-09,Livello2,2023-07-08
GENOVA,2023-07-09,Livello1,2023-07-08
LATINA,2023-07-09,Livello1,2023-07-08
MESSINA,2023-07-09,Livello1,2023-07-08
MILANO,2023-07-09,Livello1,2023-07-08
NAPOLI,2023-07-09,Livello1,2023-07-08
PALERMO,2023-07-09,Livello2,2023-07-08
PERUGIA,2023-07-09,Livello2,2023-07-08
PESCARA,2023-07-09,Livello1,2023-07-08
REGGIO CALABRIA,2023-07-09,Livello1,2023-07-08
RIETI,2023-07-09,Livello2,2023-07-08
ROMA,2023-07-09,Livello2,2023-07-08
TORINO,2023-07-09,Livello2,2023-07-08
TRIESTE,2023-07-09,Livello1,2023-07-08
VENEZIA,2023-07-09,Livello1,2023-07-08
VERONA,2023-07-09,Livello1,2023-07-08
VITERBO,2023-07-09,Livello2,2023-07-08
ANCONA,2023-07-08,Livello1,2023-07-08
BARI,2023-07-08,Livello0,2023-07-08
BOLOGNA,2023-07-08,Livello1,2023-07-08
BOLZANO,2023-07-08,Livello1,2023-07-08
BRESCIA,2023-07-08,Livello0,2023-07-08
CAGLIARI,2023-07-08,Livello1,2023-07-08
CAMPOBASSO,2023-07-08,Livello1,2023-07-08
CATANIA,2023-07-08,Livello1,2023-07-08
CIVITAVECCHIA,2023-07-08,Livello1,2023-07-08
FIRENZE,2023-07-08,Livello1,2023-07-08
FROSINONE,2023-07-08,Livello1,2023-07-08
GENOVA,2023-07-08,Livello1,2023-07-08
LATINA,2023-07-08,Livello1,2023-07-08
MESSINA,2023-07-08,Livello1,2023-07-08
MILANO,2023-07-08,Livello0,2023-07-08
NAPOLI,2023-07-08,Livello0,2023-07-08
PALERMO,2023-07-08,Livello2,2023-07-08
PERUGIA,2023-07-08,Livello2,2023-07-08
PESCARA,2023-07-08,Livello0,2023-07-08
REGGIO CALABRIA,2023-07-08,Livello1,2023-07-08
RIETI,2023-07-08,Livello1,2023-07-08
ROMA,2023-07-08,Livello2,2023-07-08
TORINO,2023-07-08,Livello1,2023-07-08
TRIESTE,2023-07-08,Livello0,2023-07-08
VENEZIA,2023-07-08,Livello0,2023-07-08
VERONA,2023-07-08,Livello0,2023-07-08
VITERBO,2023-07-08,Livello1,2023-07-08
ANCONA,2023-07-07,Livello0,2023-07-08
BARI,2023-07-07,Livello0,2023-07-08
BOLOGNA,2023-07-07,Livello0,2023-07-08
BOLZANO,2023-07-07,Livello0,2023-07-08
BRESCIA,2023-07-07,Livello0,2023-07-08
CAGLIARI,2023-07-07,Livello0,2023-07-08
CAMPOBASSO,2023-07-07,Livello1,2023-07-08
CATANIA,2023-07-07,Livello1,2023-07-08
CIVITAVECCHIA,2023-07-07,Livello0,2023-07-08
FIRENZE,2023-07-07,Livello0,2023-07-08
FROSINONE,2023-07-07,Livello1,2023-07-08
GENOVA,2023-07-07,Livello0,2023-07-08
LATINA,2023-07-07,Livello1,2023-07-08
MESSINA,2023-07-07,Livello1,2023-07-08
MILANO,2023-07-07,Livello0,2023-07-08
NAPOLI,2023-07-07,Livello0,2023-07-08
PALERMO,2023-07-07,Livello1,2023-07-08
PERUGIA,2023-07-07,Livello1,2023-07-08
PESCARA,2023-07-07,Livello0,2023-07-08
REGGIO CALABRIA,2023-07-07,Livello1,2023-07-08
RIETI,2023-07-07,Livello0,2023-07-08
ROMA,2023-07-07,Livello1,2023-07-08
TORINO,2023-07-07,Livello0,2023-07-08
TRIESTE,2023-07-07,Livello0,2023-07-08
VENEZIA,2023-07-07,Livello0,2023-07-08
VERONA,2023-07-07,Livello0,2023-07-08
VITERBO,2023-07-07,Livello0,2023-07-08
