livello_id,livello_label,livello,livello_des,colore
0,Livello 0,Livello0,Condizioni meteorologiche che non comportano rischi per la salute della popolazione,#5bd601
1,Livello 1,Livello1,Pre-allerta. Condizioni meteorologiche che possono precedere il verificarsi di un'ondata di calore,#e4d603
2,Livello 2,Livello2,"Temperature elevate e condizioni meteorologiche che possono avere effetti negativi sulla salute della popolazione, in particolare nei sottogruppi di popolazione suscettibili",#ff7f02
3,Livello 3,Livello3,Ondata di calore. Condizioni ad elevato rischio che persistono per 3 o più giorni consecutivi,#c40001
